58624,58684.2,58624,58675.6
58675.6,58699,58650.6,58655.8
58655.8,58680,58629,58660
58660,58676,58588,58658
58658,58704,58640,58657.8
58657.8,58742.9,58632.8,58706
58706,58755.9,58676,58706
58706,58712,58680,58712
58712,58744,58693.8,58698.2
58698.2,58736,58634.2,58655.9
58655.9,58731.8,58651.2,58666
58666,58678,58628,58678
58678,58700,58641.5,58651.2
58651.2,58654,58586.2,58592.9
58592.9,58626.6,58550,58622
58622,58676,58536.4,58536.4
58536.4,58554,58454,58541.4
58541.4,58608,58393.5,58443.6
58443.6,58558,58443.6,58539.8
58539.8,58546.9,58468.7,58546.9
58546.9,58592,58512.3,58560
58560,58589.9,58420,58439
58439,58468,58409.8,58412.5
58412.5,58452,58377,58398
58398,58409.6,58326,58355.3
58355.3,58445.8,58341.4,58430
58430,58570,58430,58538
58538,58790,58536,58630
58630,58694,58614.1,58632
58632,58708.7,58622.1,58673.3
58673.3,58765.3,58662.2,58669.1
58669.2,58904,58669.2,58844
58844,58851.8,58756,58820
58820,58880.5,58602,58816
58816,58963.1,58716,58856.4
58856.4,59075.6,58820.7,59020
59020,59410,58944.3,59332
59332,59497.2,59278,59414.6
59414.6,59508,59304,59498
59498,59500.1,59278,59353.5
59353.5,59500,59284,59500
59500,59987.8,59500,59978
59978,60082.5,59876,60028
60028,60092,59885.5,59918
59918,59962.8,59775.8,59778
59778,59813.6,59540,59658
59658,59740,59548,59730
59730,59758.2,59597.1,59604
59604,59692,59420,59616.4
59616.4,59762,59588,59664
59664,59668.5,59518,59542
59542,59764.7,59520.5,59764.7
59764.7,59986,59726,59808
59808,59970,59796,59916.5
59916.6,59944,59844,59894.7
59894.7,60536.6,59880.3,60412.9
60412.9,60468,60280,60310.8
60310.8,60380,60216.3,60247.5
60247.5,60281.6,60136.2,60171.2
60171.2,60250,60168,60224.9
60224.9,60246,60130.8,60130.8
60130.8,60154,60076.6,60106
60106,60186,60099,60147.2
60147.2,60180,60073,60135.3
60135.3,60225.1,60110,60150
60150,60157.9,60122,60132
60132,60160,60080,60118
60118,60118,59950,60000
60000,60267.2,59990.2,60144
60144,60172,60084,60090
60090,60090,60026.6,60029.2
60029.2,60082,60024.9,60082
60082,60090,59982.2,59985.3
59985.3,60018,59902.5,59915.1
59915.1,59926,59865.8,59920
59920,59937.1,59788.6,59820
59820,59872.8,59787.3,59870.9
59870.9,59908.8,59824,59902
59902,60046,59900.4,60028
60028,60159.2,60010,60155.8
60155.8,60205.7,60134.5,60148.3
60148.3,60184,60088,60146
60146,60239.8,60124.3,60190.6
60190.6,60224,60152,60156.8
60156.8,60206,60152,60177
60177,60238.5,60152,60195
60195,60221.1,60172,60190.6
60190.6,60214,60150.9,60214
60214,60214,60074,60100
60100,60115,60016.4,60078
60078,60189.7,60048,60189.7
60189.7,60189.7,60106,60138
60138,60151.3,60124,60140
60140,60188.6,60082,60186
60186,60248.3,60186,60235.2
60235.2,60235.2,60188,60222
60222,60246,60144,60238
60238,60298,60082,60114.3
60114.4,60174,60114.4,60171.2
60171.2,60300,60163.1,60250
60250,60288,60226,60278
60278,60285.7,60244.6,60280
60280,60352.9,60250,60274
60274,60274,60216.3,60264
60264,60264,60101.2,60155.4
60155.4,60276,60155.4,60267.4
60267.4,60267.4,60200.5,60208
60208,60214,60151.8,60208.6
60208.6,60208.6,60119.7,60134
60134,60190.6,60100,60142
60142,60142,60000,60028.7
60029.4,60060,59920.6,59920.7
59920.7,60032,59909.9,59952
59952,60024,59928,59997.8
59997.8,60025.6,59876,59891.1
59891,59986,59888,59978
59978,60000,59962.3,59974
59974,60062,59960,60019.4
60019.4,60028,59966.1,60028
60028,60070,60016,60043.4
60043.4,60198,60029.8,60172
60172,60172,60116,60123.7
60123.7,60134,60117,60126
60126,60186,60124.9,60186
60186,60294.9,60186,60251.1
60251.1,60462.1,60244,60447.2
60447.2,60514.1,60332.3,60513.7
60513.7,60529.8,60391.1,60405.4
60405.4,60600,60372.2,60528
60528,60720,60528,60707.6
60707.6,60846.9,60684,60726
